CorreoElectronico,Password,NombreHijo,NombrePadre,NicknameHijo,Municipio,Departamento,DescripcionDireccion,Latitud,Longitud,NumeroTelefono,FechaCarta,NombreJuguete,CategoriaJuguete,PrecioJuguete,EdadRecomendable
bantomaui@gmail.com,banton123,Juan Perez,Banton Maui,Juanito,Guatemala,Guatemala,Colombina 12va calle,14.6555661,-90.539453,58952536,15/12/2020,Monopoly,Juegos de Mesa,199.99,10
bantomaui@gmail.com,banton123,Juan Perez,Banton Maui,Juanito,Guatemala,Guatemala,Colombina 12va calle,14.6555661,-90.539453,58952536,15/12/2020,Dinosaurio 021,Figura de Accion,129.99,7
bantomaui@gmail.com,banton123,Juan Perez,Banton Maui,Juanito,Guatemala,Guatemala,Colombina 12va calle,14.6555661,-90.539453,58952536,15/12/2020,Vehiculos De Construcción Surtido,Vehiculos,34.99,4
danieldan@hotmail.com,d@n12,Daniel Andres,Daniel Danilo,BabyDani,Guatemala,Guatemala,Colonia Bethania,14.6494792,-90.5358491,46582412,29/11/2020,Fisher Price - Triciclo Thomas,Deportes,520.5,5
luisaMaria.12@yahoo.com,vasLo12,Fernando Pensamiento,Luisa Maria,Pensa,Guatemala,Guatemala,8va ave  A,14.6041956,-90.5934627,25658978,05/10/2020,Mesa De Hockey Plegable - Gamepower,Deportes,1199.0,15
luisaMaria.12@yahoo.com,vasLo12,Arturo Pensamiento,Luisa Maria,R2d2,Guatemala,Guatemala,8va ave  A,14.6041956,-90.5934627,25658978,07/10/2020,Mesa De Futillo,Deportes,1199.0,15
mergrey12@gmail.com,myperson,Zola Shepherd,Meredith Grey,ZolaMedica,Huehuetenango,Huehuetenango,Avenida totonicapan,14.6838042,-90.4851473,25665322,15/11/2020,Baby Alive - Muñeca Mix De Medicina Surtido,Muñecas,224.99,6
mergrey12@gmail.com,myperson,Zola Shepherd,Meredith Grey,ZolaMedica,Huehuetenango,Huehuetenango,Avenida totonicapan,14.6838042,-90.4851473,25665322,15/11/2020,My Doctor Set,Cuando sea grande,199.99,4
mergrey12@gmail.com,myperson,Zola Shepherd,Meredith Grey,ZolaMedica,Huehuetenango,Huehuetenango,Avenida totonicapan,14.6838042,-90.4851473,25665322,15/11/2020,Set de doctor,Cuando sea grande,25.0,6
AangAire@hotmail.com,airecontrol,Bumi ,Aang,Bumi,Quetzaltenango,Xela,19 avenida,14.8479307,-91.5225479,46898230,12/12/2020,Dinosaurio 021,Figura de Accion,129.99,7
AangAire@hotmail.com,airecontrol,Bumi ,Aang,Bumi,Quetzaltenango,Xela,19 avenida,14.8479307,-91.5225479,46898230,12/12/2020,Dinosaurio 021,Figura de Accion,129.99,7
AangAire@hotmail.com,airecontrol,Bumi ,Aang,Bumi,Quetzaltenango,Xela,19 avenida,14.8479307,-91.5225479,46898230,12/12/2020,Dinosaurio 022,Figura de Accion,125.2,7
AangAire@hotmail.com,airecontrol,Bumi ,Aang,Bumi,Quetzaltenango,Xela,19 avenida,14.8479307,-91.5225479,46898230,12/12/2020,Dinosaurio 023,Figura de Accion,165.8,7
ignbatres@gmail.com,ingb091!,Veronica Batres,Ignacio Batres,Vero,Peten,Flores,23 calle  12-3,16.9111297,-89.8899091,57410204,27/11/2020,Nerf Alpha Strike Lanzadora Multifuncional,Lanzadores,199.99,12
ignbatres@gmail.com,ingb091!,Veronica Batres,Ignacio Batres,Vero,Peten,Flores,23 calle  12-3,16.9111297,-89.8899091,57410204,27/11/2020,Tp - Lanzador Sheet Storm - Blaster,Lanzadores,579.99,12
ignbatres@gmail.com,ingb091!,Veronica Batres,Ignacio Batres,Vero,Peten,Flores,23 calle  12-3,16.9111297,-89.8899091,57410204,27/11/2020,Vehiculos De Construcción Surtido,Vehiculos,34.99,4
andresiocarga@hotmail.com,12ghal1h,Luis Cardenas,Andres Cardenas,Luisillo,Guatemala,Guatemala,Manzana P  12-30,14.6272535,-90.5572328,46842422,01/12/2020,St 5pcs Air Shuttle Play Set - Express Wheels,Vehiculos,89.99,10
andresiocarga@hotmail.com,12ghal1h,Luis Cardenas,Andres Cardenas,Luisillo,Guatemala,Guatemala,Manzana P  12-30,14.6272535,-90.5572328,46842422,01/12/2020,St 5pcs Air Shuttle Play Set - Express Wheels,Vehiculos,89.99,10
andresiocarga@hotmail.com,12ghal1h,Luis Cardenas,Andres Cardenas,Luisillo,Guatemala,Guatemala,Manzana P  12-30,14.6272535,-90.5572328,46842422,01/12/2020,St 5pcs Air Shuttle Play Set - Express Wheels,Vehiculos,89.99,10
andresiocarga@hotmail.com,12ghal1h,Luis Cardenas,Andres Cardenas,Luisillo,Guatemala,Guatemala,Manzana P  12-30,14.6272535,-90.5572328,46842422,01/12/2020,Monopoly,Juegos de Mesa,199.99,10
andresiocarga@hotmail.com,12ghal1h,Luis Cardenas,Andres Cardenas,Luisillo,Guatemala,Guatemala,Manzana P  12-30,14.6272535,-90.5572328,46842422,01/12/2020,Dinosaurio 023,Figura de Accion,165.8,7
DjangoRata@gmail.com,quesos123,Remi,Django,Chefsito,Quetzaltenango,Xela,Dos cuadras del parque central,14.6362608,-90.517503,56589812,12/10/2020,Play Doh Candy Playset,Plasticina,262.49,8
DjangoRata@gmail.com,quesos123,Remi,Django,Chefsito,Quetzaltenango,Xela,Dos cuadras del parque central,14.6362608,-90.517503,56589812,12/10/2020,Play Doh - Kitchen Máquina De Pasta,Plasticina,172.49,8
luisaMaria.12@yahoo.com,vasLo12,Arturo Pensamiento,Luisa Maria,R2d2,Guatemala,Guatemala,8va ave  A,14.6041956,-90.5934627,25658978,23/12/2020,Nerf Alpha Strike Lanzadora Multifuncional,Lanzadores,199.99,12
danieldan@hotmail.com,d@n12,Daniel Andres,Daniel Danilo,BabyDani,Guatemala,Guatemala,Colonia Bethania,14.6494792,-90.5358491,46582412,31/11/2020,Dinosaurio 022,Figura de Accion,125.2,7
